confidence,iou,sample_count,class_rows,total_absolute_error,mean_absolute_count_error,mean_absolute_percentage_error,exact_count_match_rate,false_positive_count,false_negative_count,processing_seconds
0.25,0.7,4,14,22,5.5,0.2994,0.0,5,17,2.3401
0.3,0.7,4,14,24,6.0,0.2091,0.5,1,23,2.3401
0.25,0.6,4,14,24,6.0,0.318,0.0,5,19,2.3452
0.25,0.5,4,14,24,6.0,0.3168,0.0,4,20,2.3516
0.25,0.4,4,14,24,6.0,0.3168,0.0,4,20,4.3112
0.3,0.6,4,14,26,6.5,0.2276,0.5,1,25,2.336
0.3,0.4,4,14,27,6.75,0.2357,0.5,1,26,2.3155
0.3,0.5,4,14,27,6.75,0.2357,0.5,1,26,2.395
0.35,0.7,4,14,28,7.0,0.2401,0.5,0,28,2.3339
0.35,0.5,4,14,30,7.5,0.2587,0.5,0,30,2.3314
0.35,0.6,4,14,30,7.5,0.2587,0.5,0,30,2.3391
0.35,0.4,4,14,30,7.5,0.2587,0.5,0,30,2.3394
0.4,0.5,4,14,37,9.25,0.3199,0.5,0,37,2.3405
0.4,0.7,4,14,37,9.25,0.3199,0.5,0,37,2.3591
0.4,0.4,4,14,37,9.25,0.3199,0.5,0,37,2.3752
0.4,0.6,4,14,37,9.25,0.3199,0.5,0,37,2.3776
0.45,0.6,4,14,41,10.25,0.3533,0.5,0,41,2.3325
0.5,0.4,4,14,41,10.25,0.3533,0.5,0,41,2.3325
0.45,0.4,4,14,41,10.25,0.3533,0.5,0,41,2.3353
0.45,0.7,4,14,41,10.25,0.3533,0.5,0,41,2.3427
0.45,0.5,4,14,41,10.25,0.3533,0.5,0,41,2.3573
0.5,0.7,4,14,41,10.25,0.3533,0.5,0,41,2.3607
0.5,0.6,4,14,41,10.25,0.3533,0.5,0,41,2.3858
0.5,0.5,4,14,41,10.25,0.3533,0.5,0,41,2.5043
