frame_index,timestamp_seconds,processing_seconds,fps_estimate,frame_total,frame_counts_json,line_total,line_counts_json,new_events_json
0,0.0,0.093535,10.6912,4,"{""bus"": 1, ""person"": 3}",0,{},[]
1,0.0417,0.030792,32.4758,4,"{""bus"": 1, ""person"": 3}",0,{},[]
2,0.0833,0.029205,34.2401,5,"{""bus"": 1, ""person"": 4}",0,{},[]
3,0.125,0.029808,33.548,4,"{""bus"": 1, ""person"": 3}",1,"{""person"": 1}","[{""frame_index"": 3, ""track_id"": 2, ""label"": ""person"", ""direction"": ""positive""}]"
4,0.1667,0.027544,36.3054,5,"{""bus"": 1, ""person"": 4}",1,"{""person"": 1}",[]
5,0.2083,0.029662,33.7127,4,"{""bus"": 1, ""person"": 3}",1,"{""person"": 1}",[]
6,0.25,0.027649,36.1681,5,"{""bus"": 1, ""person"": 4}",1,"{""person"": 1}",[]
7,0.2917,0.027781,35.9953,4,"{""bus"": 1, ""person"": 3}",1,"{""person"": 1}",[]
8,0.3333,0.037868,26.4077,5,"{""bus"": 1, ""person"": 4}",3,"{""person"": 3}","[{""frame_index"": 8, ""track_id"": 4, ""label"": ""person"", ""direction"": ""positive""}, {""frame_index"": 8, ""track_id"": 3, ""label"": ""person"", ""direction"": ""positive""}]"
9,0.375,0.027666,36.1452,5,"{""bus"": 1, ""person"": 4}",3,"{""person"": 3}",[]
10,0.4167,0.02846,35.1369,5,"{""bus"": 1, ""person"": 4}",3,"{""person"": 3}",[]
11,0.4583,0.0285,35.0878,4,"{""bus"": 1, ""person"": 3}",3,"{""person"": 3}",[]
12,0.5,0.029112,34.3495,5,"{""bus"": 1, ""person"": 4}",3,"{""person"": 3}",[]
13,0.5417,0.029439,33.9684,5,"{""bus"": 2, ""person"": 3}",3,"{""person"": 3}",[]
14,0.5833,0.026983,37.0602,5,"{""bus"": 1, ""person"": 4}",3,"{""person"": 3}",[]
15,0.625,0.02772,36.0748,5,"{""bus"": 1, ""person"": 4}",3,"{""person"": 3}",[]
16,0.6667,0.027797,35.9758,4,"{""bus"": 1, ""person"": 3}",3,"{""person"": 3}",[]
17,0.7083,0.02739,36.5099,5,"{""bus"": 1, ""person"": 4}",3,"{""person"": 3}",[]
18,0.75,0.028737,34.7987,4,"{""bus"": 1, ""person"": 3}",3,"{""person"": 3}",[]
19,0.7917,0.029287,34.145,5,"{""bus"": 1, ""person"": 4}",3,"{""person"": 3}",[]
20,0.8333,0.030243,33.0655,5,"{""bus"": 1, ""person"": 4}",3,"{""person"": 3}",[]
